Date-time;Type;Metadato grafico storico;SER007 - San Giorgio - Misura livello vasca sinistra (m);SER007 - San Giorgio - Misura livello vasca destra (m);SER007 - San Giorgio - Portata ingresso vasca (l/s);SER007 - San Giorgio - Portata uscita Guncina (l/s);SER007 - San Giorgio - Portata uscita Rafenstein (l/s)
2025/03/01 12:45:00;A;;2,92;2,86;0,0;0,0;0,4
2025/03/01 12:45:01;P;;;;;;0,4
2025/03/01 13:00:00;P;;2,90;2,85;0,0;0,0;0,4
2025/03/01 13:15:00;A;;2,88;2,84;0,0;0,5;0,2
2025/03/01 13:15:01;P;;;;;0,5;
2025/03/01 13:30:00;P;;2,87;2,83;0,0;0,6;0,2
2025/03/01 13:45:00;A;;2,86;2,81;0,0;0,5;0,4
2025/03/01 13:45:01;P;;;;;;0,4
2025/03/01 14:00:00;P;;2,84;2,79;0,0;0,5;0,6
2025/03/01 14:05:00;A;;;;;0,0;0,4
2025/03/01 14:15:00;P;;2,83;2,78;0,0;0,0;0,4
2025/03/01 14:30:00;P;;2,82;2,77;0,0;0,0;0,3
2025/03/01 14:40:00;A;;;;;0,5;
2025/03/01 14:45:00;P;;2,80;2,76;0,0;0,7;0,3
2025/03/01 14:55:00;A;;;;;0,0;
2025/03/01 15:00:00;P;;2,79;2,74;0,0;0,0;0,3
2025/03/01 15:15:00;P;;2,78;2,73;0,0;0,0;0,2
2025/03/01 15:30:00;A;;2,77;2,72;0,0;0,0;0,0
2025/03/01 15:30:01;P;;;;;;0,0
2025/03/01 15:40:00;A;;;;;;0,6
2025/03/01 15:45:00;P;;2,76;2,72;0,0;0,0;0,5
2025/03/01 16:00:00;P;;2,74;2,70;0,0;0,0;0,5
2025/03/01 16:10:00;A;;;;;;0,3
2025/03/01 16:15:00;P;;2,74;2,69;0,0;0,0;0,3
2025/03/01 16:20:00;A;;;;;0,6;
2025/03/01 16:25:00;A;;;;;0,0;
2025/03/01 16:30:00;P;;2,72;2,68;0,0;0,0;0,3
2025/03/01 16:45:00;P;;2,71;2,67;0,0;0,0;0,2
2025/03/01 16:55:00;A;;;;;0,5;
2025/03/01 17:00:00;P;;2,71;2,66;0,0;0,5;0,3
2025/03/01 17:15:00;P;;2,69;2,65;0,0;0,6;0,3
2025/03/01 17:30:00;A;;2,68;2,63;0,0;0,5;0,7
2025/03/01 17:30:01;P;;;;;;0,7
2025/03/01 17:35:00;A;;;;;0,0;1,0
2025/03/01 17:40:00;A;;;;;;0,6
2025/03/01 17:45:00;P;;2,66;2,61;0,0;0,0;0,6
2025/03/01 17:50:00;A;;;;;0,6;
2025/03/01 18:00:00;A;;2,64;2,59;0,0;0,7;0,3
2025/03/01 18:00:01;P;;;;;;0,3
2025/03/01 18:15:00;A;;2,62;2,57;0,0;0,0;0,7
2025/03/01 18:15:01;P;;;;;0,0;0,7
2025/03/01 18:25:00;A;;;;;;0,4
2025/03/01 18:30:00;P;;2,61;2,56;0,0;0,0;0,4
2025/03/01 18:35:00;A;;;;;0,7;
2025/03/01 18:45:00;A;;2,59;2,54;0,0;0,6;0,6
2025/03/01 18:45:01;P;;;;;;0,6
2025/03/01 18:50:00;A;;;;;0,0;0,9
2025/03/01 19:00:00;P;;2,56;2,52;0,0;0,0;0,8
2025/03/01 19:10:00;A;;;;;0,7;0,5
2025/03/01 19:15:00;P;;2,55;2,49;0,0;0,8;0,5
2025/03/01 19:20:00;A;;;;;0,6;
2025/03/01 19:25:00;A;;;;;;0,8
2025/03/01 19:30:00;A;;2,53;2,47;0,0;0,5;0,5
2025/03/01 19:30:01;P;;;;;;0,5
2025/03/01 19:35:00;A;;;;;0,0;
2025/03/01 19:40:00;A;;;;;0,5;
2025/03/01 19:45:00;P;;2,51;2,46;0,0;0,6;0,5
2025/03/01 20:00:00;P;;2,53;2,48;0,0;0,7;0,5
2025/03/01 20:08:00;A;;2,58;2,53;;;
2025/03/01 20:10:00;A;;;;;0,0;
2025/03/01 20:15:00;P;;2,63;2,58;0,0;0,0;0,4
2025/03/01 20:22:00;A;;2,68;2,63;;;
2025/03/01 20:25:00;A;;;;;;0,2
2025/03/01 20:29:00;A;;;2,68;;;
2025/03/01 20:30:00;A;;2,74;2,69;0,0;0,0;0,0
2025/03/01 20:30:01;P;;2,74;;;;
2025/03/01 20:37:00;A;;;2,74;;;
2025/03/01 20:38:00;A;;2,79;;;;
2025/03/01 20:40:00;A;;;;;;0,5
2025/03/01 20:45:00;A;;2,84;2,79;0,0;0,0;0,5
2025/03/01 20:45:01;P;;2,84;2,79;;;
2025/03/01 20:52:00;A;;;2,84;;;
2025/03/01 20:53:00;A;;2,90;;;;
2025/03/01 21:00:00;A;;2,95;2,90;0,0;0,0;0,3
2025/03/01 21:00:01;P;;2,95;2,90;;;
2025/03/01 21:05:00;A;;;;;0,6;
2025/03/01 21:08:00;A;;;2,96;;;
2025/03/01 21:09:00;A;;3,01;;;;
2025/03/01 21:15:00;P;;3,04;3,00;0,0;0,5;0,4
2025/03/01 21:20:00;A;;;;;0,0;
