Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 08:25:00;A;;;;26,72
2025/03/01 08:26:00;A;;;;27,22
2025/03/01 08:27:00;A;;;;27,02
2025/03/01 08:28:00;A;;;;24,08
2025/03/01 08:30:00;A;;6,7;71,3;27,06
2025/03/01 08:30:01;P;;;;27,06
2025/03/01 08:31:00;A;;;;27,36
2025/03/01 08:32:00;A;;;;27,03
2025/03/01 08:35:00;A;;;;27,25
2025/03/01 08:36:00;A;;;;27,00
2025/03/01 08:38:00;A;;;;25,78
2025/03/01 08:39:00;A;;;;27,04
2025/03/01 08:42:00;A;;;;27,45
2025/03/01 08:43:00;A;;;;27,08
2025/03/01 08:44:00;A;;;;26,88
2025/03/01 08:45:00;A;;6,7;71,2;27,83
2025/03/01 08:45:01;P;;;;27,83
2025/03/01 08:46:00;A;;;;27,60
2025/03/01 08:47:00;A;;;;27,89
2025/03/01 08:48:00;A;;;;27,05
2025/03/01 08:49:00;A;;;;27,34
2025/03/01 08:50:00;A;;;;27,13
2025/03/01 08:51:00;A;;;;24,93
2025/03/01 08:52:00;A;;;;26,96
2025/03/01 08:55:00;A;;6,5;;
2025/03/01 08:57:00;A;;;;27,25
2025/03/01 08:58:00;A;;;;27,04
2025/03/01 09:00:00;A;;6,7;70,7;26,56
2025/03/01 09:00:01;P;;6,7;;26,56
2025/03/01 09:01:00;A;;;;27,22
2025/03/01 09:02:00;A;;;;26,99
2025/03/01 09:09:00;A;;;;26,58
2025/03/01 09:10:00;A;;;;27,05
2025/03/01 09:15:00;P;;6,7;70,9;27,18
2025/03/01 09:17:00;A;;;;26,96
2025/03/01 09:22:00;A;;;;26,66
2025/03/01 09:24:00;A;;;;29,02
2025/03/01 09:25:00;A;;;;27,57
2025/03/01 09:26:00;A;;;;26,80
2025/03/01 09:28:00;A;;;;26,31
2025/03/01 09:29:00;A;;;;28,99
2025/03/01 09:30:00;A;;6,6;71,2;27,00
2025/03/01 09:30:01;P;;;;27,00
2025/03/01 09:32:00;A;;;;26,66
2025/03/01 09:33:00;A;;;;27,11
2025/03/01 09:35:00;A;;;;26,58
2025/03/01 09:36:00;A;;;;25,46
2025/03/01 09:37:00;A;;;;29,05
2025/03/01 09:38:00;A;;;;24,31
2025/03/01 09:39:00;A;;;;26,71
2025/03/01 09:40:00;A;;;;27,15
2025/03/01 09:42:00;A;;;;26,78
2025/03/01 09:43:00;A;;;;27,97
2025/03/01 09:44:00;A;;;;26,83
2025/03/01 09:45:00;P;;6,7;69,9;27,01
2025/03/01 09:46:00;A;;;;26,43
2025/03/01 09:47:00;A;;;;26,68
2025/03/01 09:48:00;A;;;;27,41
2025/03/01 09:49:00;A;;;;27,18
2025/03/01 09:50:00;A;;;;26,71
2025/03/01 09:51:00;A;;;;25,16
2025/03/01 09:52:00;A;;;;27,00
2025/03/01 09:54:00;A;;;;28,05
2025/03/01 09:55:00;A;;;;27,52
2025/03/01 09:56:00;A;;;;26,90
2025/03/01 09:57:00;A;;;;27,65
2025/03/01 09:58:00;A;;;;26,32
2025/03/01 09:59:00;A;;;;27,10
2025/03/01 10:00:00;A;;6,8;70,2;26,87
2025/03/01 10:00:01;P;;;;26,87
2025/03/01 10:04:00;A;;;;26,57
2025/03/01 10:05:00;A;;;;27,12
2025/03/01 10:06:00;A;;;;26,65
2025/03/01 10:08:00;A;;;;27,07
2025/03/01 10:09:00;A;;;;26,84
2025/03/01 10:10:00;A;;;;27,06
2025/03/01 10:11:00;A;;;;27,53
2025/03/01 10:12:00;A;;;;25,99
2025/03/01 10:13:00;A;;;;28,94
