Date-time;Type;Metadato grafico storico;POZ002 - Parma - Misura pressione rete (bar);POZ002 - Parma - Misura portata rete modbus (l/s);POZ002 - Parma - Misura livello falda (m)
2025/03/01 14:30:00;P;;9,0;37,4;8,99
2025/03/01 14:45:00;P;;9,1;37,2;8,98
2025/03/01 14:49:00;A;;;;8,57
2025/03/01 14:50:00;A;;;;8,96
2025/03/01 15:00:00;A;;9,0;36,8;8,63
2025/03/01 15:00:01;P;;;;8,63
2025/03/01 15:01:00;A;;;;8,98
2025/03/01 15:05:00;A;;;;9,22
2025/03/01 15:06:00;A;;;;8,95
2025/03/01 15:09:00;A;;;;9,37
2025/03/01 15:10:00;A;;;;8,97
2025/03/01 15:15:00;P;;9,0;37,1;8,97
2025/03/01 15:16:00;A;;;;9,20
2025/03/01 15:17:00;A;;;;8,81
2025/03/01 15:19:00;A;;;;8,57
2025/03/01 15:20:00;A;;;;9,08
2025/03/01 15:22:00;A;;;;8,86
2025/03/01 15:30:00;P;;9,1;36,6;8,77
2025/03/01 15:35:00;A;;;;8,98
2025/03/01 15:38:00;A;;;;9,32
2025/03/01 15:39:00;A;;;;8,98
2025/03/01 15:42:00;A;;;;9,22
2025/03/01 15:43:00;A;;;;8,94
2025/03/01 15:45:00;P;;9,1;36,7;8,96
2025/03/01 15:47:00;A;;;;8,73
2025/03/01 15:48:00;A;;;;9,14
2025/03/01 15:53:00;A;;;;9,35
2025/03/01 15:54:00;A;;;;8,97
2025/03/01 15:59:00;A;;;;9,38
2025/03/01 16:00:00;A;;9,1;35,9;8,87
2025/03/01 16:00:01;P;;;;8,87
2025/03/01 16:15:00;P;;9,1;36,4;8,97
2025/03/01 16:28:00;A;;;;8,57
2025/03/01 16:29:00;A;;;;8,99
2025/03/01 16:30:00;P;;9,1;35,7;8,97
2025/03/01 16:45:00;P;;9,0;37,0;8,97
2025/03/01 16:59:00;A;;;;9,22
2025/03/01 17:00:00;A;;9,1;36,7;8,96
2025/03/01 17:00:01;P;;;;8,96
2025/03/01 17:10:00;A;;;;9,23
2025/03/01 17:11:00;A;;;;8,93
2025/03/01 17:15:00;P;;9,1;37,0;8,98
2025/03/01 17:18:00;A;;;;8,74
2025/03/01 17:19:00;A;;;;8,97
2025/03/01 17:30:00;P;;9,0;37,7;9,00
2025/03/01 17:45:00;P;;9,0;37,8;8,99
2025/03/01 17:50:00;A;;;;8,78
2025/03/01 17:51:00;A;;;;9,10
2025/03/01 17:52:00;A;;;;8,70
2025/03/01 17:54:00;A;;;;9,00
2025/03/01 18:00:00;P;;9,0;39,0;9,01
2025/03/01 18:15:00;P;;9,0;38,4;8,98
2025/03/01 18:30:00;P;;9,0;38,4;9,00
2025/03/01 18:33:00;A;;;;9,22
2025/03/01 18:34:00;A;;;;9,00
2025/03/01 18:42:00;A;;;;9,31
2025/03/01 18:43:00;A;;;;9,01
2025/03/01 18:45:00;P;;9,0;38,7;8,98
2025/03/01 18:46:00;A;;;;8,64
2025/03/01 18:47:00;A;;;;9,01
2025/03/01 19:00:00;A;;9,0;38,3;8,80
2025/03/01 19:00:01;P;;;;8,80
2025/03/01 19:01:00;A;;;;9,00
2025/03/01 19:15:00;P;;9,0;38,7;9,01
2025/03/01 19:21:00;A;;;;9,22
2025/03/01 19:22:00;A;;;;8,88
2025/03/01 19:25:00;A;;;;9,15
2025/03/01 19:30:00;P;;9,0;37,5;8,98
2025/03/01 19:39:00;A;;;;9,19
2025/03/01 19:40:00;A;;;;8,91
2025/03/01 19:41:00;A;;;;9,12
2025/03/01 19:45:00;P;;9,0;37,7;8,94
2025/03/01 19:59:00;A;;;;9,44
2025/03/01 20:00:00;A;;9,1;37,5;8,99
2025/03/01 20:00:01;P;;;;8,99
2025/03/01 20:14:00;A;;;;8,53
2025/03/01 20:15:00;A;;9,0;39,2;9,01
2025/03/01 20:15:01;P;;;;9,01
2025/03/01 20:16:00;A;;;;8,76
2025/03/01 20:17:00;A;;;;9,01
2025/03/01 20:21:00;A;;;;9,46
2025/03/01 20:22:00;A;;;;8,99
2025/03/01 20:28:00;A;;;;8,72
2025/03/01 20:29:00;A;;;;9,04
2025/03/01 20:30:00;P;;9,0;38,7;9,10
2025/03/01 20:34:00;A;;;;8,81
2025/03/01 20:39:00;A;;;;9,06
2025/03/01 20:45:00;P;;9,1;37,8;8,99
2025/03/01 20:46:00;A;;;;8,78
2025/03/01 20:47:00;A;;;;8,99
2025/03/01 21:00:00;P;;9,1;37,1;8,96
2025/03/01 21:01:00;A;;8,0;;8,58
2025/03/01 21:05:00;A;;;0,0;
2025/03/01 21:15:00;P;;7,9;0,0;8,57
2025/03/01 21:28:00;A;;8,1;;
2025/03/01 21:30:00;P;;8,1;0,0;8,58
2025/03/01 21:45:00;P;;8,1;0,0;8,57
2025/03/01 22:00:00;P;;8,2;0,0;8,57
2025/03/01 22:15:00;P;;8,2;0,0;8,58
2025/03/01 22:30:00;P;;8,1;0,0;8,57
2025/03/01 22:45:00;P;;8,3;0,0;8,56
2025/03/01 23:00:00;P;;8,3;0,0;8,57
2025/03/01 23:15:00;P;;8,3;0,0;8,57
2025/03/01 23:30:00;P;;8,4;0,0;8,56
2025/03/01 23:45:00;P;;8,4;0,0;8,56
2025/03/02 00:00:00;P;;8,5;0,0;8,56
2025/03/02 00:15:00;P;;8,5;0,0;8,56
2025/03/02 00:30:00;P;;8,4;0,0;8,56
2025/03/02 00:45:00;P;;8,5;0,0;8,56
2025/03/02 01:00:00;P;;8,6;0,0;8,56
2025/03/02 01:15:00;P;;8,6;0,0;8,56
2025/03/02 01:30:00;P;;8,5;0,0;8,56
2025/03/02 01:45:00;P;;8,5;0,0;8,56
2025/03/02 02:00:00;P;;8,5;0,0;8,56
2025/03/02 02:15:00;P;;8,5;0,0;8,55
2025/03/02 02:30:00;P;;8,6;0,0;8,56
2025/03/02 02:45:00;P;;8,5;0,0;8,54
2025/03/02 03:00:00;P;;8,5;0,0;8,55
2025/03/02 03:15:00;P;;8,6;0,0;8,55
2025/03/02 03:30:00;P;;8,6;0,0;8,55
2025/03/02 03:45:00;P;;8,5;0,0;8,55
2025/03/02 04:00:00;P;;8,5;0,0;8,55
2025/03/02 04:15:00;P;;8,5;0,0;8,55
2025/03/02 04:30:00;P;;8,4;0,0;8,54
2025/03/02 04:45:00;P;;8,5;0,0;8,54
2025/03/02 05:00:00;P;;8,5;0,0;8,54
2025/03/02 05:01:00;A;;9,0;;8,78
2025/03/02 05:05:00;A;;;35,3;9,03
2025/03/02 05:11:00;A;;;;8,81
2025/03/02 05:15:00;P;;9,1;35,0;8,70
2025/03/02 05:18:00;A;;;;8,96
2025/03/02 05:30:00;P;;9,1;35,0;8,91
2025/03/02 05:45:00;P;;9,1;34,5;8,92
2025/03/02 05:52:00;A;;;;8,64
2025/03/02 05:53:00;A;;;;8,90
2025/03/02 06:00:00;P;;9,1;34,3;8,93
2025/03/02 06:01:00;A;;;;8,51
2025/03/02 06:03:00;A;;;;9,20
2025/03/02 06:04:00;A;;;;8,86
2025/03/02 06:05:00;A;;;28,4;
2025/03/02 06:15:00;P;;9,2;30,4;8,85
2025/03/02 06:19:00;A;;;;9,09
2025/03/02 06:20:00;A;;;;8,87
2025/03/02 06:30:00;A;;9,1;33,4;8,92
2025/03/02 06:30:01;P;;;33,4;
2025/03/02 06:45:00;P;;9,2;33,6;8,93
2025/03/02 06:48:00;A;;;;9,17
2025/03/02 06:49:00;A;;;;8,93
2025/03/02 07:00:00;A;;9,0;37,0;8,95
2025/03/02 07:00:01;P;;;37,0;
2025/03/02 07:05:00;A;;;;8,71
2025/03/02 07:06:00;A;;;;8,95
2025/03/02 07:15:00;P;;9,0;38,5;8,96
2025/03/02 07:19:00;A;;;;9,27
2025/03/02 07:20:00;A;;;;8,84
2025/03/02 07:27:00;A;;;;8,59
2025/03/02 07:28:00;A;;;;8,99
2025/03/02 07:30:00;A;;9,0;39,0;9,20
2025/03/02 07:30:01;P;;;;9,20
2025/03/02 07:31:00;A;;;;8,96
2025/03/02 07:35:00;A;;;;9,72
2025/03/02 07:36:00;A;;;;8,98
2025/03/02 07:37:00;A;;;;8,49
2025/03/02 07:38:00;A;;;;9,12
2025/03/02 07:45:00;P;;8,8;41,4;9,01
2025/03/02 07:57:00;A;;;;8,61
2025/03/02 07:58:00;A;;;;9,06
2025/03/02 08:00:00;P;;8,8;41,6;9,01
2025/03/02 08:11:00;A;;8,6;;
2025/03/02 08:14:00;A;;8,8;;
2025/03/02 08:15:00;P;;8,6;43,4;9,07
2025/03/02 08:18:00;A;;8,9;;
2025/03/02 08:19:00;A;;;;8,87
2025/03/02 08:20:00;A;;;39,2;
2025/03/02 08:22:00;A;;;;9,34
2025/03/02 08:23:00;A;;;;9,00
2025/03/02 08:30:00;P;;8,9;40,4;9,00
2025/03/02 08:45:00;P;;8,8;41,8;9,02
2025/03/02 09:00:00;P;;8,9;41,2;9,02
2025/03/02 09:08:00;A;;;;9,23
2025/03/02 09:09:00;A;;;;9,02
2025/03/02 09:10:00;A;;;;8,78
2025/03/02 09:11:00;A;;;;9,01
2025/03/02 09:15:00;P;;8,7;41,8;9,04
2025/03/02 09:19:00;A;;;;9,25
2025/03/02 09:21:00;A;;;;9,02
2025/03/02 09:30:00;P;;8,8;42,4;9,02
2025/03/02 09:35:00;A;;;;9,24
2025/03/02 09:36:00;A;;;;9,02
2025/03/02 09:45:00;P;;8,8;40,8;9,02
2025/03/02 10:00:00;P;;8,7;42,2;9,02
2025/03/02 10:15:00;P;;8,8;41,3;9,03
2025/03/02 10:30:00;P;;8,9;39,7;9,03
2025/03/02 10:36:00;A;;;;8,73
2025/03/02 10:38:00;A;;;;8,99
2025/03/02 10:45:00;P;;8,9;40,0;9,02
2025/03/02 10:54:00;A;;;;8,64
2025/03/02 10:55:00;A;;;;9,05
2025/03/02 11:00:00;P;;9,0;38,5;8,99
2025/03/02 11:15:00;P;;9,0;39,0;8,98
2025/03/02 11:30:00;P;;9,0;38,7;8,98
2025/03/02 11:33:00;A;;;;9,22
2025/03/02 11:35:00;A;;;;9,00
2025/03/02 11:45:00;P;;8,9;38,3;8,98
2025/03/02 12:00:00;A;;9,0;37,7;9,31
2025/03/02 12:00:01;P;;;;9,31
2025/03/02 12:01:00;A;;;;9,00
2025/03/02 12:05:00;A;;;;8,61
2025/03/02 12:06:00;A;;;;8,98
2025/03/02 12:15:00;P;;8,9;38,5;8,97
2025/03/02 12:30:00;P;;9,0;39,0;8,99
2025/03/02 12:45:00;P;;9,0;38,3;8,94
2025/03/02 12:49:00;A;;;;9,38
2025/03/02 12:50:00;A;;;;9,00
2025/03/02 13:00:00;P;;8,9;38,3;9,03
2025/03/02 13:09:00;A;;9,1;;
2025/03/02 13:15:00;A;;8,9;38,2;8,99
2025/03/02 13:15:01;P;;8,9;;
2025/03/02 13:16:00;A;;9,1;;
2025/03/02 13:20:00;A;;;;8,58
2025/03/02 13:21:00;A;;;;8,99
2025/03/02 13:23:00;A;;;;8,68
2025/03/02 13:24:00;A;;;;8,97
2025/03/02 13:30:00;P;;9,1;37,5;9,02
2025/03/02 13:42:00;A;;;;9,30
2025/03/02 13:43:00;A;;;;8,98
2025/03/02 13:45:00;P;;9,0;37,3;9,09
2025/03/02 13:52:00;A;;;;8,73
2025/03/02 13:53:00;A;;;;8,99
2025/03/02 14:00:00;P;;9,1;37,3;8,96
2025/03/02 14:07:00;A;;;;9,21
2025/03/02 14:08:00;A;;;;8,97
2025/03/02 14:10:00;A;;;;9,18
2025/03/02 14:11:00;A;;;;8,95
2025/03/02 14:15:00;P;;9,0;37,9;8,97
2025/03/02 14:24:00;A;;;;9,36
2025/03/02 14:25:00;A;;;;8,97
2025/03/02 14:30:00;P;;9,1;36,8;8,94
2025/03/02 14:44:00;A;;;;9,24
2025/03/02 14:45:00;A;;9,1;36,7;8,95
2025/03/02 14:45:01;P;;;;8,95
2025/03/02 14:53:00;A;;;;9,16
2025/03/02 14:54:00;A;;;;8,96
2025/03/02 14:57:00;A;;;;9,27
2025/03/02 14:58:00;A;;;;8,96
2025/03/02 15:00:00;A;;9,0;37,4;9,17
2025/03/02 15:00:01;P;;;;9,17
2025/03/02 15:01:00;A;;;;8,95
2025/03/02 15:07:00;A;;;;9,16
2025/03/02 15:09:00;A;;;;8,95
2025/03/02 15:15:00;P;;9,1;36,9;8,95
2025/03/02 15:18:00;A;;;;8,56
2025/03/02 15:19:00;A;;;;8,95
2025/03/02 15:22:00;A;;;;8,45
2025/03/02 15:23:00;A;;;;8,96
2025/03/02 15:30:00;P;;9,0;37,0;9,15
2025/03/02 15:31:00;A;;;;8,94
2025/03/02 15:45:00;P;;9,1;35,8;8,93
2025/03/02 16:00:00;P;;9,2;36,0;8,95
2025/03/02 16:15:00;P;;9,1;35,8;8,94
2025/03/02 16:19:00;A;;;;8,57
2025/03/02 16:20:00;A;;;;8,94
2025/03/02 16:30:00;P;;9,0;37,2;8,81
2025/03/02 16:36:00;A;;;;9,14
2025/03/02 16:38:00;A;;;;8,55
2025/03/02 16:39:00;A;;;;8,95
2025/03/02 16:41:00;A;;;;9,21
2025/03/02 16:42:00;A;;;;8,95
2025/03/02 16:45:00;P;;9,1;37,4;8,95
2025/03/02 17:00:00;P;;9,1;36,7;8,96
2025/03/02 17:15:00;P;;9,0;38,4;8,97
2025/03/02 17:30:00;P;;9,0;38,2;8,98
2025/03/02 17:39:00;A;;;;9,19
2025/03/02 17:41:00;A;;;;8,96
2025/03/02 17:45:00;P;;9,0;38,4;8,98
2025/03/02 17:48:00;A;;;;9,21
2025/03/02 17:49:00;A;;;;8,97
2025/03/02 18:00:00;P;;9,0;38,6;8,83
2025/03/02 18:02:00;A;;;;9,07
2025/03/02 18:15:00;P;;9,0;38,4;8,93
2025/03/02 18:26:00;A;;;;8,59
2025/03/02 18:27:00;A;;;;9,00
2025/03/02 18:30:00;A;;9,0;38,2;9,29
2025/03/02 18:30:01;P;;;;9,29
2025/03/02 18:31:00;A;;;;8,97
2025/03/02 18:45:00;P;;9,0;39,0;8,98
2025/03/02 18:47:00;A;;8,8;;
2025/03/02 18:48:00;A;;9,0;;
2025/03/02 19:00:00;P;;8,8;39,6;8,99
2025/03/02 19:15:00;A;;8,9;39,1;9,38
2025/03/02 19:15:01;P;;;;9,38
2025/03/02 19:16:00;A;;;;8,78
2025/03/02 19:17:00;A;;;;8,99
2025/03/02 19:25:00;A;;;;9,37
2025/03/02 19:26:00;A;;;;8,96
2025/03/02 19:30:00;A;;8,9;39,0;8,70
2025/03/02 19:30:01;P;;;;8,70
2025/03/02 19:31:00;A;;;;9,01
2025/03/02 19:43:00;A;;;;8,54
2025/03/02 19:44:00;A;;;;8,99
2025/03/02 19:45:00;P;;9,0;38,6;8,99
2025/03/02 20:00:00;P;;9,0;38,7;9,00
2025/03/02 20:13:00;A;;;;9,24
2025/03/02 20:14:00;A;;;;8,96
2025/03/02 20:15:00;P;;9,0;39,0;9,03
2025/03/02 20:24:00;A;;;;8,57
2025/03/02 20:25:00;A;;;;8,99
2025/03/02 20:27:00;A;;;;8,78
2025/03/02 20:29:00;A;;;;8,99
2025/03/02 20:30:00;P;;9,0;38,4;9,11
2025/03/02 20:35:00;A;;;;8,66
2025/03/02 20:36:00;A;;;;9,23
2025/03/02 20:37:00;A;;;;8,99
2025/03/02 20:45:00;P;;9,0;38,0;8,98
2025/03/02 20:49:00;A;;;;8,77
2025/03/02 20:51:00;A;;;;9,02
2025/03/02 20:54:00;A;;;;8,60
