Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/01 12:00:00;A;;8,7;65,4;11,57
2025/03/01 12:00:01;P;;;65,4;
2025/03/01 12:05:00;A;;;69,8;
2025/03/01 12:14:00;A;;;;11,80
2025/03/01 12:15:00;P;;8,7;67,3;11,63
2025/03/01 12:22:00;A;;;;12,26
2025/03/01 12:23:00;A;;;;11,70
2025/03/01 12:30:00;P;;8,7;67,6;11,69
2025/03/01 12:39:00;A;;;;11,00
2025/03/01 12:40:00;A;;;;11,83
2025/03/01 12:43:00;A;;;;11,60
2025/03/01 12:44:00;A;;;;11,88
2025/03/01 12:45:00;A;;8,7;66,8;11,51
2025/03/01 12:45:01;P;;;;11,51
2025/03/01 12:50:00;A;;;;11,75
2025/03/01 13:00:00;P;;8,6;68,0;11,68
2025/03/01 13:12:00;A;;;;11,15
2025/03/01 13:13:00;A;;;;11,73
2025/03/01 13:15:00;P;;8,7;66,2;11,58
2025/03/01 13:25:00;A;;;69,3;
2025/03/01 13:27:00;A;;;;11,84
2025/03/01 13:28:00;A;;;;11,62
2025/03/01 13:30:00;A;;8,6;64,4;11,58
2025/03/01 13:30:01;P;;;64,4;
2025/03/01 13:39:00;A;;;;11,22
2025/03/01 13:40:00;A;;;;11,55
2025/03/01 13:45:00;P;;8,6;62,1;11,61
2025/03/01 13:47:00;A;;;;10,77
2025/03/01 13:48:00;A;;;;11,55
2025/03/01 13:57:00;A;;;;13,11
2025/03/01 13:58:00;A;;;;11,39
2025/03/01 14:00:00;P;;8,6;61,3;11,56
2025/03/01 14:10:00;A;;;57,6;
2025/03/01 14:15:00;P;;8,6;55,6;11,41
2025/03/01 14:18:00;A;;;;11,73
2025/03/01 14:19:00;A;;;;11,35
2025/03/01 14:20:00;A;;;50,3;
2025/03/01 14:25:00;A;;;53,6;
2025/03/01 14:30:00;A;;8,6;48,7;11,31
2025/03/01 14:30:01;P;;;48,7;
2025/03/01 14:35:00;A;;;53,3;
2025/03/01 14:40:00;A;;;47,6;10,56
2025/03/01 14:41:00;A;;;;11,27
2025/03/01 14:45:00;A;;8,6;49,9;11,53
2025/03/01 14:45:01;P;;;;11,53
2025/03/01 14:48:00;A;;;;11,25
2025/03/01 14:52:00;A;;;;11,57
2025/03/01 14:54:00;A;;;;11,25
2025/03/01 14:55:00;A;;;;11,50
2025/03/01 14:58:00;A;;;;11,26
2025/03/01 15:00:00;A;;8,7;46,0;11,32
2025/03/01 15:00:01;P;;;46,0;
2025/03/01 15:03:00;A;;;;11,07
2025/03/01 15:05:00;A;;;40,8;
2025/03/01 15:08:00;A;;;;11,34
2025/03/01 15:10:00;A;;;43,8;11,12
2025/03/01 15:12:00;A;;;;11,36
2025/03/01 15:15:00;P;;8,6;41,4;11,44
2025/03/01 15:16:00;A;;;;11,23
2025/03/01 15:30:00;P;;8,7;39,7;11,19
2025/03/01 15:34:00;A;;;;10,82
2025/03/01 15:35:00;A;;;34,9;11,24
2025/03/01 15:43:00;A;;;;11,02
2025/03/01 15:45:00;P;;8,7;37,0;11,10
2025/03/01 15:50:00;A;;;31,2;
2025/03/01 15:51:00;A;;;;11,38
2025/03/01 15:53:00;A;;;;11,17
2025/03/01 16:00:00;P;;8,7;33,1;11,10
2025/03/01 16:05:00;A;;;36,4;
2025/03/01 16:15:00;A;;8,7;41,3;11,50
2025/03/01 16:15:01;P;;;41,3;11,50
2025/03/01 16:17:00;A;;;;11,18
2025/03/01 16:20:00;A;;;37,0;
2025/03/01 16:21:00;A;;;;11,55
2025/03/01 16:22:00;A;;;;11,27
2025/03/01 16:24:00;A;;;;11,96
2025/03/01 16:25:00;A;;;;11,17
2025/03/01 16:30:00;P;;8,7;36,1;11,23
2025/03/01 16:35:00;A;;;39,6;
2025/03/01 16:45:00;P;;8,6;39,5;11,14
2025/03/01 16:49:00;A;;;;11,39
2025/03/01 16:50:00;A;;;43,4;
2025/03/01 16:59:00;A;;;;11,13
2025/03/01 17:00:00;P;;8,7;44,0;11,33
2025/03/01 17:10:00;A;;;48,8;
2025/03/01 17:15:00;P;;8,6;49,9;11,41
2025/03/01 17:20:00;A;;;;11,02
2025/03/01 17:21:00;A;;;;11,36
2025/03/01 17:30:00;P;;8,6;51,5;11,30
2025/03/01 17:36:00;A;;;;11,92
2025/03/01 17:37:00;A;;;;11,39
2025/03/01 17:38:00;A;;;;10,54
2025/03/01 17:39:00;A;;;;11,41
2025/03/01 17:40:00;A;;;55,2;
2025/03/01 17:45:00;P;;8,7;55,4;11,36
2025/03/01 17:47:00;A;;;;10,92
2025/03/01 17:48:00;A;;;;11,58
2025/03/01 17:50:00;A;;;61,9;
2025/03/01 17:55:00;A;;;69,7;
2025/03/01 18:00:00;P;;8,6;70,1;11,68
2025/03/01 18:10:00;A;;;65,6;
2025/03/01 18:13:00;A;;;;10,38
2025/03/01 18:14:00;A;;;;11,64
2025/03/01 18:15:00;P;;8,7;67,3;11,48
2025/03/01 18:16:00;A;;;;11,72
2025/03/01 18:17:00;A;;;;11,48
2025/03/01 18:20:00;A;;;63,3;
2025/03/01 18:22:00;A;;;;11,80
2025/03/01 18:23:00;A;;;;11,57
