;;;;;;T:/acquedotto/modello_idraulico/Misure_portate_pressioni/svolgimento/dati;;;;;T:/acquedotto/modello_idraulico/calibrazione/iwws_live_data;;;
n;date_type;row1;sep;dir_in;type_inp;file_in;file_out;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
25;;;;;x;POLLER000000760_20231017_0000_20231103_2400_S.Pietro.csv;;;;;;;;
26;ITA;1;TAB;serbatoi;simple_2;POLLER000000761_20231017_0000_20231103_2400_Campegno.csv;cal26_SER001_0761_28772_campegno_liv;serbatoio;level;m;SER001 - Campegno - Misura livello vasca campegno (m);;;
27;ITA;1;TAB;serbatoi;simple_3;POLLER000000761_20231017_0000_20231103_2400_Campegno.csv;cal27_SER001_0761_28774_campegno_q_ingresso;meter;flow;l/s;SER001 - Campegno - Misura portata ingresso Campegno (l/s);;;
28;ITA;1;TAB;serbatoi;simple_4;POLLER000000761_20231017_0000_20231103_2400_Campegno.csv;cal28_SER001_0761_28778_campegno_cardano_q;meter;flow;l/s;SER001 - Campegno - Misura portata uscita Cardano (l/s);;;
29;ITA;1;TAB;serbatoi;simple_5;POLLER000000761_20231017_0000_20231103_2400_Campegno.csv;cal29_SER001_0761_28776_campegno_piani_q;meter;flow;l/s;SER001 - Campegno - Misura portata uscita Piani (l/s);;;
30;STD;1;semicolon;serbatoi;simple_2;VIRTUAL00000278_20231017_0000_20231103_2400_S.Pietro_sup.csv;cal30_SER008_0278_0_SEAB__26000009_s_pietro_sup_serb_sx_liv;serbatoio;level;m;SER009 - San Pietro Superiore - Livello serbatoio SX (m);;;
31;ITA;1;TAB;pozzi;simple_2;POLLER000000727_20231017_0000_20231103_2400_Aeroporto.csv;cal31_POZ001_0727_28772_aeroporto_falda_liv;pozzo;level;m;POZ001 - Aeroporto - Misura livello falda (m);;;
32;ITA;1;TAB;pozzi;simple_3;POLLER000000727_20231017_0000_20231103_2400_Aeroporto.csv;cal32_POZ001_0727_28942_aeroporto_q;meter;flow;l/s;POZ001 - Aeroporto - Misura portata rete modbus (l/s);;;
33;ITA;1;TAB;pozzi;simple_4;POLLER000000727_20231017_0000_20231103_2400_Aeroporto.csv;cal33_POZ001_0727_28774_aeroporto_rete_p;nodo;pressure;bar;POZ001 - Aeroporto - Misura pressione rete (bar);;;
34;ITA;1;TAB;pozzi;simple_3;POLLER000000728_20231017_0000_20231103_2400_Tambosi.csv;cal34_POZ003_0728_28772_tambosi_falda_liv;pozzo;level;m;POZ003/RIL001 - Tambosi - Misura livello falda (m);;;
